time,T,H,L
19:42:21.374220,23.6,30.0,627.0
19:42:33.696003,23.3,30.0,616.0
19:42:46.111907,23.3,30.0,619.0
19:42:58.475529,23.3,30.0,627.0
19:43:10.832006,23.3,30.0,622.0
19:43:23.192024,23.3,30.0,628.0
19:43:35.601010,23.3,30.0,625.0
19:43:47.956894,23.3,30.0,628.0
19:44:00.351395,23.2,30.0,624.0
19:44:12.751998,23.2,30.0,623.0
19:44:25.096000,23.3,30.0,626.0
19:44:37.481974,23.3,30.0,615.0
19:44:49.864010,23.3,30.0,620.0
19:45:02.244183,23.2,30.0,615.0
19:45:14.672539,23.2,30.0,618.0
19:45:27.029628,23.2,30.0,627.0
19:45:39.384006,23.2,38.0,620.0
19:45:51.748030,23.2,32.0,620.0
19:46:04.114060,23.3,30.0,609.0
19:46:16.472220,23.3,30.0,614.0
19:46:28.828005,23.3,31.0,612.0
19:46:41.286959,23.2,31.0,617.0
19:46:53.631885,23.2,31.0,620.0
19:47:05.976645,23.2,31.0,619.0
19:47:18.323090,23.2,31.0,615.0
19:47:30.672638,23.2,31.0,617.0
19:47:43.024037,23.2,31.0,609.0
19:47:55.371267,23.2,31.0,615.0
19:48:07.717855,23.2,31.0,617.0
19:48:20.168029,23.2,31.0,616.0
19:48:32.522964,23.1,31.0,617.0
19:48:44.871924,23.2,31.0,619.0
19:48:57.264445,23.1,31.0,607.0
19:49:09.616499,23.1,31.0,611.0
19:49:22.008787,23.1,31.0,631.0
19:49:34.367613,23.1,31.0,621.0
19:49:46.793299,23.1,31.0,630.0
19:49:59.156751,23.1,31.0,621.0
19:50:11.516237,23.0,31.0,620.0
19:50:23.867997,23.1,31.0,627.0
19:50:36.262842,23.1,31.0,624.0
19:50:48.624033,23.1,31.0,621.0
19:51:00.966471,23.1,31.0,1009.0
19:51:13.344010,23.1,31.0,1007.0
19:51:25.843991,23.0,31.0,1005.0
19:51:38.195999,23.1,31.0,1003.0
19:51:50.539432,23.1,31.0,1004.0
19:52:02.881831,23.1,31.0,1001.0
19:52:15.221892,23.1,31.0,1001.0
19:52:27.564045,23.0,31.0,1002.0
19:52:39.903976,23.0,31.0,1000.0
19:52:52.365136,23.0,31.0,1001.0
19:53:04.710402,23.0,31.0,1001.0
19:53:17.056002,23.0,31.0,1000.0
